No Decimal Found,
62.063739,25.562315
61.532527,26.714842
63.326448,27.49553
62.235926,24.976968
62.05049,24.606825
63.100612,30.661564
62.164022,22.100466
60.719836,25.806008
62.866327,25.13021
66.730691,28.243272
62.5731,21.058006
62.707162,22.206378
66.461671,25.762407
62.164022,22.100466
64.931074,25.199033
63.235873,26.30026
62.707162,22.206378
60.899287,25.799303
60.455623,26.724343
62.707162,22.206378
60.515752,24.174512
60.813345,26.353783
62.707162,22.206378
60.899287,25.799303
60.899287,25.799303
61.684832,24.257196
66.551324,25.757947
62.87598,27.880962
60.985286,28.567181
62.693296,21.81717
60.25051,24.378092
60.76207,23.234815
66.796491,28.417146
60.973733,21.54489
62.514582,21.848311
61.578065,23.513038
62.235926,24.976968
62.670665,24.166341
62.910651,22.961449
62.877887,27.487955
60.267487,25.461135
60.289386,25.414899
61.969548,25.185355
62.737103,23.181066
61.975888,25.757178
63.757095,29.326922
60.985286,28.567181
62.866327,25.13021
60.60116,21.242086
60.985286,28.567181
67.26657,28.502783
61.975888,25.757178
62.132965,24.216732
63.089636,22.936604
62.707162,22.206378
60.76207,23.234815
60.985286,28.567181
62.672748,21.869678
60.442213,25.08951
62.624257,22.415012
62.956092,28.868784
60.721342,25.989184
62.910651,22.961449
62.164022,22.100466
63.906116,23.226707
61.256379,25.599352
65.834128,28.199809
62.043342,24.224934
61.063068,21.529489
63.122714,29.672565
60.985286,28.567181
60.751286,22.868854
60.362401,26.00032
62.789743,21.996576
61.532527,26.714842
60.14469,23.666043
61.578065,23.513038
60.667268,23.062784
63.849864,29.131216
62.670665,24.166341
60.635378,27.088261
62.581053,24.174883
60.16085,24.385242
63.849864,29.131216
61.855949,23.861726
66.196564,27.551064
66.549379,25.532908
66.644918,27.56102
61.228722,23.924451
57.81473,13.99049
64.43735,21.57955
60.55824,15.79686
58.67834,16.76526
61.08943,15.32663
63.73606,14.8252
62.86573,18.47483
65.79988,22.22688
57.64584,12.27403
58.23199,12.00516
59.75042,16.16267
58.68764,16.74908
63.78092,19.84277
66.91996,23.67302
64.62681,17.23679
57.53404,14.21741
60.1539,17.70841
58.29395,13.88814
58.84114,15.32033
59.59268,13.38638
66.037,23.75267
57.16798,15.2414
60.67392,14.87555
63.55408,19.12056
59.16566,12.68367
60.57914,15.87639
58.62632,11.64512
62.23923,17.47216
57.64664,14.22963
60.20654,17.71903
58.75602,16.32381
60.38527,17.10908
59.01004,14.95023
61.379,16.62974
65.41045,19.69595
56.86804,15.22452
61.01532,12.54708
63.45287,19.24826
58.67834,16.76526
57.02887,13.56588
59.15867,14.43164
57.53404,14.21741
60.14028,16.76489
63.14875,12.96207
62.87419,13.19913
57.48101,13.33757
59.39771,12.39864
56.85975,13.8191
59.92406,17.3365
65.4945,21.88427
63.07212,18.37543
59.44476,14.9884
60.45704,15.27206
66.64701,18.79366
60.63785,13.15186
60.59372,17.51525
62.18326,17.38561
59.78142,18.0379
59.01741,15.19425
57.52861,14.51778
57.45163,15.72493
65.56118,22.27791
56.94785,14.3166
59.74393,16.36436
56.78323,14.06969
59.4431,13.66782
64.6759,16.71679
62.77372,12.76493
57.56834,16.35273
59.62677,13.87402
57.80599,15.44694
66.67969,18.81886
56.95834,13.92194
60.24552,17.18386
60.39746,17.29278
62.5882,16.69708
64.33897,20.97109
57.76028,12.84868
57.39162,13.24575
57.5373,12.30949
57.48101,13.33757
56.72274,14.42884
62.82672,12.7249
56.86667,16.22692
57.19805,16.21383
59.10681,12.29565
59.02578,14.93189
61.26088,16.28089
59.17652,18.29983
59.82827,16.20605
57.24802,15.58978
57.02871,15.44508
63.82064,14.11381
58.23438,11.99316
65.60056,22.30484
60.53385,17.8812
64.45342,19.88813
57.54319,13.61423
64.03054,20.23914
59.88664,15.9037
62.32893,15.05385
61.01474,12.50785
59.01245,14.46318
58.24105,13.43475
57.71906,13.58014
57.55067,14.92432
62.44982,13.25188
59.68844,15.48361
58.83751,15.31942
64.74865,21.29701
60.1036,17.73463
58.29375,12.34038
59.18307,16.43472
57.80281,12.16967
65.95241,23.88363
62.4259,17.68887
62.64529,13.06884
64.72075,16.23632
57.58115,13.98133
57.05992,13.1006
58.00417,12.04307
59.27824,13.57147
65.78774,21.9566
62.86573,18.47483
59.08254,17.4484
59.87857,13.51664
57.84293,15.95349
61.00171,16.62759
65.54962,21.98789
59.32358,14.77413
59.7657,16.29362
64.74903,18.12034
60.14947,17.69617
62.54146,12.52441
57.89733,13.06962
60.32774,17.07739
62.00147,15.41361
60.83174,16.40814
63.80891,20.86153
56.72402,14.42675
59.84327,16.24148
57.53404,14.21741
63.66144,17.16449
62.59291,17.12137
57.16651,16.14984
64.61113,15.16767
58.67834,16.76526
63.87166,20.68717
59.7033,15.67088
62.06569,17.28559
56.57413,14.67595
63.64072,14.53736
60.36728,18.22127
59.87857,13.51664
60.09464,12.79663
57.78008,16.31365
64.09135,20.75531
57.78015,16.27027
64.00216,20.5844
64.14824,19.32847
64.59548,15.06407
57.53404,14.21741
62.97197,14.89453
63.78092,19.84277
